Team,Nickname,Current
Air Force,Falcons,Mountain West
Akron,Zips,MAC
Alabama,Crimson Tide,SEC
Appalachian State,Mountaineers,Sun Belt
Arizona,Wildcats,Pac-12
Arizona State,Sun Devils,Pac-12
Arkansas,Razorbacks,SEC
Arkansas State,Red Wolves,Sun Belt
Army,Black Knights,Independent
Auburn,Tigers,SEC
Ball State,Cardinals,MAC
Baylor,Bears,Big 12
Boise State,Broncos,Mountain West
Boston College,Eagles,ACC
Bowling Green,Falcons,MAC
Buffalo,Bulls,MAC
Brigham Young,Cougars,Independent
California,Golden Bears,Pac-12
Central Michigan,Chippewas,MAC
Charlotte,49ers,C-USA
Cincinnati,Bearcats,American
Clemson,Tigers,ACC
Coastal Carolina,Chanticleers,Sun Belt
Colorado,Buffaloes,Pac-12
Colorado State,Rams,Mountain West
Duke,Blue Devils,ACC
East Carolina,Pirates,American
Eastern Michigan,Eagles,MAC
Florida-Int,Panthers,C-USA
Florida,Gators,SEC
Florida Atlantic,Owls,C-USA
Florida State,Seminoles,ACC
Fresno State,Bulldogs,Mountain West
Georgia,Bulldogs,SEC
Georgia Southern,Eagles,Sun Belt
Georgia State,Panthers,Sun Belt
Georgia Tech,Yellow Jackets,ACC
Hawaii,Rainbow Warriors,Mountain West
Houston,Cougars,American
Illinois,Fighting Illini,Big Ten
Indiana,Hoosiers,Big Ten
Iowa,Hawkeyes,Big Ten
Iowa State,Cyclones,Big 12
Kansas,Jayhawks,Big 12
Kansas State,Wildcats,Big 12
Kent State,Golden Flashes,MAC
Kentucky,Wildcats,SEC
Liberty,Flames,Independent
Louisiana-Lafayette,Ragin' Cajuns,Sun Belt
Louisiana-Monroe,Warhawks,Sun Belt
Louisiana Tech,Bulldogs,C-USA
Louisville,Cardinals,ACC
Louisiana State,Tigers,SEC
Marshall,Thundering Herd,C-USA
Maryland,Terrapins,Big Ten
Memphis,Tigers,American
Miami-Fl,Hurricanes,ACC
Miami-OH,RedHawks,MAC
Michigan,Wolverines,Big Ten
Michigan State,Spartans,Big Ten
Middle Tennessee State,Blue Raiders,C-USA
Minnesota,Golden Gophers,Big Ten
Mississippi State,Bulldogs,SEC
Missouri,Tigers,SEC
Naval Academy,Midshipmen,American
NC State,Wolfpack,ACC
Nebraska,Cornhuskers,Big Ten
Nevada,Wolf Pack,Mountain West
New Mexico,Lobos,Mountain West
New Mexico State,Aggies,Independent
North Carolina,Tar Heels,ACC
North Texas,Mean Green,C-USA
Northern Illinois,Huskies,MAC
Northwestern,Wildcats,Big Ten
Notre Dame,Fighting Irish,Independent
Ohio,Bobcats,MAC
Ohio State,Buckeyes,Big Ten
Oklahoma,Sooners,Big 12
Oklahoma State,Cowboys,Big 12
Old Dominion,Monarchs,C-USA
Mississippi,Rebels,SEC
Oregon,Ducks,Pac-12
Oregon State,Beavers,Pac-12
Penn State,Nittany Lions,Big Ten
Pittsburgh,Panthers,ACC
Purdue,Boilermakers,Big Ten
Rice,Owls,C-USA
Rutgers,Scarlet Knights,Big Ten
San Diego State,Aztecs,Mountain West
San Jose State,Spartans,Mountain West
SMU,Mustangs,American
South Alabama,Jaguars,Sun Belt
South Carolina,Gamecocks,SEC
South Florida,Bulls,American
Southern Miss,Golden Eagles,C-USA
Stanford,Cardinal,Pac-12
Syracuse,Orange,ACC
Texas Christian,Horned Frogs,Big 12
Temple,Owls,American
Tennessee,Volunteers,SEC
Texas,Longhorns,Big 12
Texas A&M,Aggies,SEC
Texas State,Bobcats,Sun Belt
Texas Tech,Red Raiders,Big 12
Toledo,Rockets,MAC
Troy,Trojans,Sun Belt
Tulane,Green Wave,American
Tulsa,Golden Hurricane,American
Alabama-Birmingham,Blazers,C-USA
Central Florida,Knights,American
UCLA,Bruins,Pac-12
Connecticut,Huskies,Independent
UMass,Minutemen,Independent
UNLV,Rebels,Mountain West
USC,Trojans,Pac-12
UTEP,Miners,C-USA
UTSA,Roadrunners,C-USA
Utah,Utes,Pac-12
Utah State,Aggies,Mountain West
Vanderbilt,Commodores,SEC
Virginia,Cavaliers,ACC
Virginia Tech,Hokies,ACC
Wake Forest,Demon Deacons,ACC
Washington,Huskies,Pac-12
Washington State,Cougars,Pac-12
West Virginia,Mountaineers,Big 12
Western Kentucky,Hilltoppers,C-USA
Western Michigan,Broncos,MAC
Wisconsin,Badgers,Big Ten
Wyoming,Cowboys,Mountain West
